corridor,date,load,n,dow,is_weekend,month,dom,lag1,lag7,roll7,roll14,corridor_cat
Bannerghata Road,2023-11-23,0.0,0.0,3,0,11,23,1.0,0.0,2.142857142857143,1.5,Bannerghata Road
Bannerghata Road,2023-11-24,2.0,1.0,4,0,11,24,0.0,1.0,2.0,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-11-25,0.0,0.0,5,1,11,25,2.0,1.0,1.7142857142857142,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-11-26,0.0,0.0,6,1,11,26,0.0,0.0,1.2857142857142858,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-11-27,0.0,0.0,0,0,11,27,0.0,3.0,1.2857142857142858,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-11-28,0.0,0.0,1,0,11,28,0.0,0.0,1.2857142857142858,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-11-29,0.0,0.0,2,0,11,29,0.0,1.0,1.2857142857142858,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-11-30,1.0,1.0,3,0,11,30,0.0,0.0,1.4285714285714286,1.7857142857142858,Bannerghata Road
Bannerghata Road,2023-12-01,1.0,1.0,4,0,12,1,1.0,2.0,1.5714285714285714,1.7857142857142858,Bannerghata Road
Bannerghata Road,2023-12-02,0.0,0.0,5,1,12,2,1.0,0.0,1.8571428571428572,1.7857142857142858,Bannerghata Road
Bannerghata Road,2023-12-03,0.0,0.0,6,1,12,3,0.0,0.0,1.8571428571428572,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-12-04,0.0,0.0,0,0,12,4,0.0,0.0,1.8571428571428572,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-12-05,2.0,2.0,1,0,12,5,0.0,0.0,1.5714285714285714,1.4285714285714286,Bannerghata Road
Bannerghata Road,2023-12-06,0.0,0.0,2,0,12,6,2.0,0.0,1.5714285714285714,1.4285714285714286,Bannerghata Road
Bannerghata Road,2023-12-07,1.0,1.0,3,0,12,7,0.0,1.0,1.2857142857142858,1.3571428571428572,Bannerghata Road
Bannerghata Road,2023-12-08,4.0,2.0,4,0,12,8,1.0,1.0,1.2857142857142858,1.4285714285714286,Bannerghata Road
